city,cityId,locality,localityId,bhk_numbers,bhkId,propertyType_name,propertyType_id,No.of Bathroom,bathroomId,amenities_name,amenities_id,minArea,maxArea,builderid,buildername,minPrice,maxPrice
Bangalore,1,,,,,,,,,,,1345,1680,2384,Balaji Developers,8053000,10000000
Bangalore,1,,,,,,,,,,,1156,2976,2384,Balaji Developers,6296000,16200000
Bangalore,1,,,,,,,,,,,1015,1575,2384,Balaji Developers,4974000,7718000
Bangalore,1,,,,,,,,,,,1190,1675,2384,Balaji Developers,7387000,10400000
Bangalore,1,,,,,,,,,,,1040,1676,2384,Balaji Developers,9661000,15500000
Bangalore,1,,,,,,,,,,,1630,1807,2386,Chamundi Builders,7969000,8834000
Bangalore,1,,,,,,,,,,,626,645,103,Hebron Properties Pvt Ltd,4269000,4399000
Bangalore,1,,,,,,,,,,,1330,2611,1582,Nandini Builders,5653000,11000000
Bangalore,1,,,,,,,,,,,1945,1945,1582,Nandini Builders,0,0
Bangalore,1,,,,,,,,,,,3117,4934,1,Prestige Group,54200000,85900000
Bangalore,1,,,,,,,,,,,4220,4220,1483,S And S Group,21900000,21900000
Bangalore,1,,,,,,,,,,,2713,5668,143,Total Environment,34700000,68500000
Bangalore,1,,,,,,,,,,,1247,1740,2388,Srishigra Builders,10300000,14400000
Bangalore,1,,,,,,,,,,,2650,3600,27,Shriram Properties,24300000,33000000
Bangalore,1,,,,,,,,,,,3595,6065,1695,Value Designbuild Builders,30600000,51600000
Bangalore,1,,,,,,,,,,,3401,4209,1502,Vishnu Developers,15300000,18900000
Bangalore,1,,,,,,,,,,,1300,4535,179,ELV projects,15000000,52600000
Bangalore,1,,,,,,,,,,,0,0,179,ELV projects,0,0
Bangalore,1,,,,,,,,,,,1031,1890,2354,Bijith International Builders,3556000,6520000
Bangalore,1,,,,,,,,,,,1022,1660,2542,Mehi Developers,4189000,6804000
Bangalore,1,,,,,,,,,,,0,0,1585,Dhruthi Infra Projects Ltd,0,0
Bangalore,1,,,,,,,,,,,1506,3174,2548,Anish Projects,6476000,13600000
Bangalore,1,,,,,,,,,,,0,0,1538,Hoysala Projects,0,0
Bangalore,1,,,,,,,,,,,2200,3450,1538,Hoysala Projects,20700000,32500000
Bangalore,1,,,,,,,,,,,1830,2070,1538,Hoysala Projects,13600000,15400000
Bangalore,1,,,,,,,,,,,1975,1975,1538,Hoysala Projects,12800000,12800000
Bangalore,1,,,,,,,,,,,1050,1680,1538,Hoysala Projects,6249000,9999000
Bangalore,1,,,,,,,,,,,1155,1260,1538,Hoysala Projects,4620000,5040000
Bangalore,1,,,,,,,,,,,1165,1760,1538,Hoysala Projects,4980000,7524000
Bangalore,1,,,,,,,,,,,975,3040,1538,Hoysala Projects,10000000,31400000
Bangalore,1,,,,,,,,,,,1140,1695,1538,Hoysala Projects,7531000,11100000
Bangalore,1,,,,,,,,,,,1025,1590,1538,Hoysala Projects,2870000,4452000
Bangalore,1,,,,,,,,,,,1075,1755,1538,Hoysala Projects,3386000,5528000
Bangalore,1,,,,,,,,,,,1500,3845,1538,Hoysala Projects,12600000,32400000
Bangalore,1,,,,,,,,,,,1085,1540,1559,Nishitas Properties,5967000,847000000
Bangalore,1,,,,,,,,,,,1250,1250,2605,Perody Builders,5000000,5000000
Bangalore,1,,,,,,,,,,,1000,1220,2606,Abhinaya Builders,4200000,5124000
Bangalore,1,,,,,,,,,,,630,1873,2605,Perody Builders,2646000,7867000
Bangalore,1,,,,,,,,,,,950,950,2605,Perody Builders,0,0
Bangalore,1,,,,,,,,,,,1100,1299,2605,Perody Builders,5249000,6198000
Bangalore,1,,,,,,,,,,,1045,1250,237,A R Group,6269000,7499000
Bangalore,1,,,,,,,,,,,1500,1500,2605,Perody Builders,0,0
Bangalore,1,,,,,,,,,,,0,0,2605,Perody Builders,0,0
Bangalore,1,,,,,,,,,,,0,0,2605,Perody Builders,0,0
Bangalore,1,,,,,,,,,,,1277,2020,522,SBR Group,7037000,11100000
Bangalore,1,,,,,,,,,,,1225,1680,2612,V6 Shelters,6737000,9240000
Bangalore,1,,,,,,,,,,,1065,1505,526,United Projects,5325000,7525000
Bangalore,1,,,,,,,,,,,4152,4500,60,UKN Properties,0,0
Bangalore,1,,,,,,,,,,,1061,1567,2605,Perody Builders,6973000,10200000
Bangalore,1,,,,,,,,,,,1859,2627,27,Shriram Properties,16800000,20100000
Bangalore,1,,,,,,,,,,,1026,1811,770,Suraksha Group,101000,15400000
Bangalore,1,,,,,,,,,,,1180,2360,2616,Sri Rajashree,7670000,15300000
Bangalore,1,,,,,,,,,,,925,1380,901,SLV Developers,6770000,10100000
Bangalore,1,,,,,,,,,,,766,1396,2605,Perody Builders,3064000,5584000
Bangalore,1,,,,,,,,,,,1089,1269,901,SLV Developers,4400000,5100000
Bangalore,1,,,,,,,,,,,1060,1275,1902,Sri Balaji Builders And Promoters,3799000,4399000
Bangalore,1,,,,,,,,,,,1131,1839,31,Rohan Builders and Developers,8400000,13600000
Bangalore,1,,,,,,,,,,,960,1125,2622,Lakshmi Bhargav Builders,5514000,6462000
Bangalore,1,,,,,,,,,,,1075,1105,1568,CMRS Group,6129000,6298000
